year,passengerrank,airportcode,airportname,cityname,statename,avgfare,inflationadj,passengersample
2013,327,JMS,Jamestown Regional,Jamestown,ND,627.54,676.43,830
2014,327,JMS,Jamestown Regional,Jamestown,ND,437.17,463.71,830
2015,327,JMS,Jamestown Regional,Jamestown,ND,441.67,467.92,830
2016,328,JMS,Jamestown Regional,Jamestown,ND,393.04,411.22,830
2017,329,JMS,Jamestown Regional,Jamestown,ND,407.76,417.72,830
2018,329,JMS,Jamestown Regional,Jamestown,ND,407.76,417.72,830
2008,319,HHH,Hilton Head Airport,Hilton Head,SC,469.41,547.47,846
2009,319,HHH,Hilton Head Airport,Hilton Head,SC,439.01,513.85,846
2010,317,HHH,Hilton Head Airport,Hilton Head,SC,439.29,505.88,846
2011,320,HHH,Hilton Head Airport,Hilton Head,SC,487.77,544.52,846
2012,324,HHH,Hilton Head Airport,Hilton Head,SC,506.51,553.97,846
2013,326,HHH,Hilton Head Airport,Hilton Head,SC,522.54,563.25,846
2014,326,HHH,Hilton Head Airport,Hilton Head,SC,493.75,523.72,846
2015,326,HHH,Hilton Head Airport,Hilton Head,SC,523.41,554.52,846
2016,327,HHH,Hilton Head Airport,Hilton Head,SC,482.42,504.73,846
2017,328,HHH,Hilton Head Airport,Hilton Head,SC,497.70,509.86,846
2018,328,HHH,Hilton Head Airport,Hilton Head,SC,497.70,509.86,846
2008,318,CDC,Cedar City Regional,Cedar City,UT,119.80,139.72,859
2009,318,CDC,Cedar City Regional,Cedar City,UT,122.70,143.62,859
2010,316,CDC,Cedar City Regional,Cedar City,UT,146.78,169.02,859
2011,319,CDC,Cedar City Regional,Cedar City,UT,138.62,154.75,859
2012,323,CDC,Cedar City Regional,Cedar City,UT,144.22,157.74,859
2013,325,CDC,Cedar City Regional,Cedar City,UT,130.88,141.08,859
2014,325,CDC,Cedar City Regional,Cedar City,UT,308.77,327.51,859
2015,325,CDC,Cedar City Regional,Cedar City,UT,352.02,372.95,859
2016,326,CDC,Cedar City Regional,Cedar City,UT,337.20,352.79,859
2017,327,CDC,Cedar City Regional,Cedar City,UT,318.25,326.02,859
2018,327,CDC,Cedar City Regional,Cedar City,UT,318.25,326.02,859
2008,317,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,629.68,734.40,893
2009,317,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,550.03,643.79,893
2010,315,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,594.73,684.87,893
2011,318,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,609.52,680.43,893
2012,322,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,701.41,767.13,893
2013,324,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,627.12,675.98,893
2014,324,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,625.09,663.04,893
2015,324,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,612.04,648.43,893
2016,325,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,598.10,625.76,893
2017,326,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,661.20,677.35,893
2018,326,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,661.20,677.35,893
2008,316,MKG,Muskegon County,Muskegon,MI,471.55,549.97,907
2009,316,MKG,Muskegon County,Muskegon,MI,451.81,528.83,907
2010,314,MKG,Muskegon County,Muskegon,MI,333.69,384.27,907
2011,317,MKG,Muskegon County,Muskegon,MI,276.09,308.21,907
2012,321,MKG,Muskegon County,Muskegon,MI,295.45,323.14,907
2013,323,MKG,Muskegon County,Muskegon,MI,391.10,421.58,907
2014,323,MKG,Muskegon County,Muskegon,MI,387.63,411.16,907
2015,323,MKG,Muskegon County,Muskegon,MI,399.94,423.71,907
2016,324,MKG,Muskegon County,Muskegon,MI,378.64,396.15,907
2017,325,MKG,Muskegon County,Muskegon,MI,397.95,407.68,907
2018,325,MKG,Muskegon County,Muskegon,MI,397.95,407.68,907
2008,315,LAR,Laramie Regional,Laramie,WY,649.58,757.61,940
2009,315,LAR,Laramie Regional,Laramie,WY,557.86,652.96,940
2010,313,LAR,Laramie Regional,Laramie,WY,583.10,671.48,940
2011,316,LAR,Laramie Regional,Laramie,WY,551.58,615.75,940
2012,320,LAR,Laramie Regional,Laramie,WY,492.81,538.99,940
2013,322,LAR,Laramie Regional,Laramie,WY,392.67,423.26,940
2014,322,LAR,Laramie Regional,Laramie,WY,371.17,393.70,940
2015,322,LAR,Laramie Regional,Laramie,WY,472.41,500.49,940
2016,323,LAR,Laramie Regional,Laramie,WY,460.50,481.80,940
2017,324,LAR,Laramie Regional,Laramie,WY,465.68,477.06,940
2018,324,LAR,Laramie Regional,Laramie,WY,465.68,477.06,940
2008,314,ESC,Delta County,Escanaba,MI,462.14,538.99,954
2009,314,ESC,Delta County,Escanaba,MI,398.21,466.08,954
2010,312,ESC,Delta County,Escanaba,MI,416.01,479.07,954
2011,315,ESC,Delta County,Escanaba,MI,442.58,494.07,954
2012,319,ESC,Delta County,Escanaba,MI,573.97,627.75,954
2013,321,ESC,Delta County,Escanaba,MI,538.92,580.91,954
2014,321,ESC,Delta County,Escanaba,MI,548.62,581.92,954
2015,321,ESC,Delta County,Escanaba,MI,570.63,604.55,954
2016,322,ESC,Delta County,Escanaba,MI,512.43,536.13,954
2017,323,ESC,Delta County,Escanaba,MI,491.65,503.66,954
2018,323,ESC,Delta County,Escanaba,MI,491.65,503.66,954
2008,313,IMT,Ford,Iron Mountain/Kingsfd,MI,483.68,564.12,970
2009,313,IMT,Ford,Iron Mountain/Kingsfd,MI,424.24,496.55,970
2010,311,IMT,Ford,Iron Mountain/Kingsfd,MI,451.92,520.42,970
2011,314,IMT,Ford,Iron Mountain/Kingsfd,MI,459.72,513.20,970
2012,318,IMT,Ford,Iron Mountain/Kingsfd,MI,612.39,669.77,970
2013,320,IMT,Ford,Iron Mountain/Kingsfd,MI,200.67,216.30,970
2014,320,IMT,Ford,Iron Mountain/Kingsfd,MI,397.39,421.52,970
2015,320,IMT,Ford,Iron Mountain/Kingsfd,MI,588.66,623.66,970
2016,321,IMT,Ford,Iron Mountain/Kingsfd,MI,592.58,619.99,970
2017,322,IMT,Ford,Iron Mountain/Kingsfd,MI,471.53,483.05,970
2018,322,IMT,Ford,Iron Mountain/Kingsfd,MI,471.53,483.05,970
2008,312,EKO,Elko Regional,Elko,NV,176.12,205.40,988
2009,312,EKO,Elko Regional,Elko,NV,152.95,179.02,988
2010,310,EKO,Elko Regional,Elko,NV,156.47,180.19,988
2011,313,EKO,Elko Regional,Elko,NV,180.55,201.56,988
2012,317,EKO,Elko Regional,Elko,NV,191.83,209.81,988
2013,319,EKO,Elko Regional,Elko,NV,211.62,228.11,988
2014,319,EKO,Elko Regional,Elko,NV,523.40,555.18,988
2015,319,EKO,Elko Regional,Elko,NV,750.47,795.08,988
2016,320,EKO,Elko Regional,Elko,NV,756.52,791.50,988
2017,321,EKO,Elko Regional,Elko,NV,749.38,767.68,988
2018,321,EKO,Elko Regional,Elko,NV,749.38,767.68,988
2008,311,PSG,Petersburg James A Johnson,Petersburg,AK,425.20,495.91,1029
2009,311,PSG,Petersburg James A Johnson,Petersburg,AK,431.21,504.71,1029
2010,309,PSG,Petersburg James A Johnson,Petersburg,AK,435.65,501.68,1029
2011,312,PSG,Petersburg James A Johnson,Petersburg,AK,438.83,489.88,1029
2012,316,PSG,Petersburg James A Johnson,Petersburg,AK,460.69,503.86,1029
2013,318,PSG,Petersburg James A Johnson,Petersburg,AK,436.69,470.71,1029
2014,318,PSG,Petersburg James A Johnson,Petersburg,AK,454.11,481.68,1029
2015,318,PSG,Petersburg James A Johnson,Petersburg,AK,412.67,437.20,1029
2016,319,PSG,Petersburg James A Johnson,Petersburg,AK,413.88,433.02,1029
2017,320,PSG,Petersburg James A Johnson,Petersburg,AK,418.82,429.05,1029
2018,320,PSG,Petersburg James A Johnson,Petersburg,AK,418.82,429.05,1029
2012,315,OGD,Ogden-Hinckley,Ogden,UT,98.99,108.26,1077
2013,317,OGD,Ogden-Hinckley,Ogden,UT,84.62,91.22,1077
2014,317,OGD,Ogden-Hinckley,Ogden,UT,80.18,85.04,1077
2015,317,OGD,Ogden-Hinckley,Ogden,UT,84.89,89.93,1077
2016,318,OGD,Ogden-Hinckley,Ogden,UT,83.69,87.56,1077
2017,319,OGD,Ogden-Hinckley,Ogden,UT,99.23,101.65,1077
2018,319,OGD,Ogden-Hinckley,Ogden,UT,99.23,101.65,1077
2008,310,RKS,Rock Springs Sweetwater County,Rock Springs,WY,480.50,560.40,1083
2009,310,RKS,Rock Springs Sweetwater County,Rock Springs,WY,366.72,429.23,1083
2010,308,RKS,Rock Springs Sweetwater County,Rock Springs,WY,355.38,409.25,1083
2011,311,RKS,Rock Springs Sweetwater County,Rock Springs,WY,289.30,322.96,1083
2012,314,RKS,Rock Springs Sweetwater County,Rock Springs,WY,392.10,428.84,1083
2013,316,RKS,Rock Springs Sweetwater County,Rock Springs,WY,529.85,571.14,1083
2014,316,RKS,Rock Springs Sweetwater County,Rock Springs,WY,475.11,503.95,1083
2015,316,RKS,Rock Springs Sweetwater County,Rock Springs,WY,551.35,584.13,1083
2016,317,RKS,Rock Springs Sweetwater County,Rock Springs,WY,594.42,621.91,1083
2017,318,RKS,Rock Springs Sweetwater County,Rock Springs,WY,543.18,556.45,1083
2018,318,RKS,Rock Springs Sweetwater County,Rock Springs,WY,543.18,556.45,1083
2008,309,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,615.98,718.41,1118
2009,309,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,549.51,643.18,1118
2010,307,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,577.24,664.73,1118
2011,310,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,578.70,646.03,1118
2012,313,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,626.84,685.57,1118
2013,315,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,680.86,733.91,1118
2014,315,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,670.69,711.41,1118
2015,315,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,696.19,737.58,1118
2016,316,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,725.68,759.24,1118
2017,317,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,707.82,725.11,1118
2018,317,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,707.82,725.11,1118
2009,308,OWB,Owensboro Daviess County Regional,Owensboro,KY,123.81,144.91,1187
2010,306,OWB,Owensboro Daviess County Regional,Owensboro,KY,129.26,148.85,1187
2011,309,OWB,Owensboro Daviess County Regional,Owensboro,KY,156.07,174.23,1187
2012,312,OWB,Owensboro Daviess County Regional,Owensboro,KY,181.43,198.43,1187
2013,314,OWB,Owensboro Daviess County Regional,Owensboro,KY,135.07,145.59,1187
2014,314,OWB,Owensboro Daviess County Regional,Owensboro,KY,107.75,114.30,1187
2015,314,OWB,Owensboro Daviess County Regional,Owensboro,KY,106.41,112.74,1187
2016,315,OWB,Owensboro Daviess County Regional,Owensboro,KY,110.83,115.96,1187
2017,316,OWB,Owensboro Daviess County Regional,Owensboro,KY,148.72,152.35,1187
2018,316,OWB,Owensboro Daviess County Regional,Owensboro,KY,148.72,152.35,1187
2008,308,GGG,East Texas Regional,Longview,TX,431.64,503.42,1188
2009,307,GGG,East Texas Regional,Longview,TX,386.83,452.77,1188
2010,305,GGG,East Texas Regional,Longview,TX,456.76,525.99,1188
2011,308,GGG,East Texas Regional,Longview,TX,421.92,471.00,1188
2012,311,GGG,East Texas Regional,Longview,TX,464.05,507.53,1188
2013,313,GGG,East Texas Regional,Longview,TX,419.96,452.68,1188
2014,313,GGG,East Texas Regional,Longview,TX,455.48,483.13,1188
2015,313,GGG,East Texas Regional,Longview,TX,461.45,488.88,1188
2016,314,GGG,East Texas Regional,Longview,TX,440.66,461.04,1188
2017,315,GGG,East Texas Regional,Longview,TX,432.21,442.77,1188
2018,315,GGG,East Texas Regional,Longview,TX,432.21,442.77,1188
2008,307,IPT,Williamsport Regional,Williamsport,PA,490.49,572.06,1207
2009,306,IPT,Williamsport Regional,Williamsport,PA,420.36,492.01,1207
2010,304,IPT,Williamsport Regional,Williamsport,PA,454.63,523.54,1207
2011,307,IPT,Williamsport Regional,Williamsport,PA,492.54,549.84,1207
2012,310,IPT,Williamsport Regional,Williamsport,PA,528.89,578.45,1207
2013,312,IPT,Williamsport Regional,Williamsport,PA,542.35,584.60,1207
2014,312,IPT,Williamsport Regional,Williamsport,PA,495.33,525.39,1207
2015,312,IPT,Williamsport Regional,Williamsport,PA,493.96,523.33,1207
2016,313,IPT,Williamsport Regional,Williamsport,PA,468.13,489.78,1207
2017,314,IPT,Williamsport Regional,Williamsport,PA,517.59,530.24,1207
2018,314,IPT,Williamsport Regional,Williamsport,PA,517.59,530.24,1207
2008,306,PAH,Barkley Regional,Paducah,KY,493.03,575.02,1255
2009,305,PAH,Barkley Regional,Paducah,KY,432.23,505.90,1255
2010,303,PAH,Barkley Regional,Paducah,KY,328.36,378.14,1255
2011,306,PAH,Barkley Regional,Paducah,KY,305.18,340.69,1255
2012,309,PAH,Barkley Regional,Paducah,KY,328.36,359.13,1255
2013,311,PAH,Barkley Regional,Paducah,KY,431.78,465.42,1255
2014,311,PAH,Barkley Regional,Paducah,KY,381.61,404.78,1255
2015,311,PAH,Barkley Regional,Paducah,KY,447.85,474.47,1255
2016,312,PAH,Barkley Regional,Paducah,KY,440.42,460.79,1255
2017,313,PAH,Barkley Regional,Paducah,KY,432.81,443.38,1255
2018,313,PAH,Barkley Regional,Paducah,KY,432.81,443.38,1255
2008,305,CMX,Houghton County Memorial,Hancock/Houghton,MI,549.21,640.54,1285
2009,304,CMX,Houghton County Memorial,Hancock/Houghton,MI,460.03,538.45,1285
2010,302,CMX,Houghton County Memorial,Hancock/Houghton,MI,358.51,412.85,1285
2011,305,CMX,Houghton County Memorial,Hancock/Houghton,MI,318.69,355.77,1285
2012,308,CMX,Houghton County Memorial,Hancock/Houghton,MI,376.19,411.43,1285
2013,310,CMX,Houghton County Memorial,Hancock/Houghton,MI,521.76,562.41,1285
2014,310,CMX,Houghton County Memorial,Hancock/Houghton,MI,466.85,495.19,1285
2015,310,CMX,Houghton County Memorial,Hancock/Houghton,MI,535.47,567.30,1285
2016,311,CMX,Houghton County Memorial,Hancock/Houghton,MI,526.95,551.32,1285
2017,312,CMX,Houghton County Memorial,Hancock/Houghton,MI,554.24,567.78,1285
2018,312,CMX,Houghton County Memorial,Hancock/Houghton,MI,554.24,567.78,1285
2008,304,EAU,Chippewa Valley Regional,Eau Claire,WI,518.62,604.87,1306
2009,303,EAU,Chippewa Valley Regional,Eau Claire,WI,433.01,506.82,1306
2010,301,EAU,Chippewa Valley Regional,Eau Claire,WI,294.81,339.49,1306
2011,304,EAU,Chippewa Valley Regional,Eau Claire,WI,287.20,320.61,1306
2012,307,EAU,Chippewa Valley Regional,Eau Claire,WI,314.65,344.13,1306
2013,309,EAU,Chippewa Valley Regional,Eau Claire,WI,438.34,472.49,1306
2014,309,EAU,Chippewa Valley Regional,Eau Claire,WI,389.65,413.31,1306
2015,309,EAU,Chippewa Valley Regional,Eau Claire,WI,456.89,484.05,1306
2016,310,EAU,Chippewa Valley Regional,Eau Claire,WI,417.57,436.88,1306
2017,311,EAU,Chippewa Valley Regional,Eau Claire,WI,435.33,445.96,1306
2018,311,EAU,Chippewa Valley Regional,Eau Claire,WI,435.33,445.96,1306
2008,303,DUT,Unalaska Airport,Unalaska,AK,860.43,1003.52,1336
2009,302,DUT,Unalaska Airport,Unalaska,AK,884.27,1035.00,1336
2010,300,DUT,Unalaska Airport,Unalaska,AK,896.21,1032.05,1336
2011,303,DUT,Unalaska Airport,Unalaska,AK,931.19,1039.51,1336
2012,306,DUT,Unalaska Airport,Unalaska,AK,990.17,1082.95,1336
2013,308,DUT,Unalaska Airport,Unalaska,AK,995.91,1073.51,1336
2014,308,DUT,Unalaska Airport,Unalaska,AK,1029.99,1092.52,1336
2015,308,DUT,Unalaska Airport,Unalaska,AK,999.91,1059.35,1336
2016,309,DUT,Unalaska Airport,Unalaska,AK,970.07,1014.93,1336
2017,310,DUT,Unalaska Airport,Unalaska,AK,995.01,1019.31,1336
2018,310,DUT,Unalaska Airport,Unalaska,AK,995.01,1019.31,1336
2008,302,MEI,Key Field,Meridian,MS,551.83,643.60,1337
2009,301,MEI,Key Field,Meridian,MS,561.22,656.89,1337
2010,299,MEI,Key Field,Meridian,MS,600.26,691.24,1337
2011,302,MEI,Key Field,Meridian,MS,602.42,672.50,1337
2012,305,MEI,Key Field,Meridian,MS,642.99,703.23,1337
2013,307,MEI,Key Field,Meridian,MS,582.45,627.83,1337
2014,307,MEI,Key Field,Meridian,MS,508.91,539.81,1337
2015,307,MEI,Key Field,Meridian,MS,523.58,554.71,1337
2016,308,MEI,Key Field,Meridian,MS,495.72,518.64,1337
2017,309,MEI,Key Field,Meridian,MS,472.18,483.71,1337
2018,309,MEI,Key Field,Meridian,MS,472.18,483.71,1337
2008,301,RHI,Rhinelander/Oneida County,Rhinelander,WI,523.22,610.23,1343
2009,300,RHI,Rhinelander/Oneida County,Rhinelander,WI,432.09,505.74,1343
2010,298,RHI,Rhinelander/Oneida County,Rhinelander,WI,479.37,552.03,1343
2011,301,RHI,Rhinelander/Oneida County,Rhinelander,WI,475.45,530.76,1343
2012,304,RHI,Rhinelander/Oneida County,Rhinelander,WI,413.33,452.06,1343
2013,306,RHI,Rhinelander/Oneida County,Rhinelander,WI,253.76,273.53,1343
2014,306,RHI,Rhinelander/Oneida County,Rhinelander,WI,408.83,433.64,1343
2015,306,RHI,Rhinelander/Oneida County,Rhinelander,WI,630.36,667.83,1343
2016,307,RHI,Rhinelander/Oneida County,Rhinelander,WI,618.27,646.87,1343
2017,308,RHI,Rhinelander/Oneida County,Rhinelander,WI,580.56,594.74,1343
2018,308,RHI,Rhinelander/Oneida County,Rhinelander,WI,580.56,594.74,1343
2008,300,BRD,Brainerd Lakes Regional,Brainerd,MN,589.52,687.55,1355
2009,299,BRD,Brainerd Lakes Regional,Brainerd,MN,499.06,584.12,1355
2010,297,BRD,Brainerd Lakes Regional,Brainerd,MN,526.88,606.74,1355
2011,300,BRD,Brainerd Lakes Regional,Brainerd,MN,505.50,564.31,1355
2012,303,BRD,Brainerd Lakes Regional,Brainerd,MN,519.49,568.17,1355
2013,305,BRD,Brainerd Lakes Regional,Brainerd,MN,182.30,196.51,1355
2014,305,BRD,Brainerd Lakes Regional,Brainerd,MN,418.15,443.53,1355
2015,305,BRD,Brainerd Lakes Regional,Brainerd,MN,590.00,625.07,1355
2016,306,BRD,Brainerd Lakes Regional,Brainerd,MN,585.86,612.95,1355
2017,307,BRD,Brainerd Lakes Regional,Brainerd,MN,581.47,595.67,1355
2018,307,BRD,Brainerd Lakes Regional,Brainerd,MN,581.47,595.67,1355
2008,299,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,397.41,463.49,1362
2009,298,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,429.33,502.52,1362
2010,296,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,420.72,484.49,1362
2011,299,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,354.01,395.19,1362
2012,302,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,332.62,363.78,1362
2013,304,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,300.23,323.62,1362
2014,304,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,332.72,352.92,1362
2015,304,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,354.37,375.44,1362
2016,305,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,315.61,330.20,1362
2017,306,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,321.28,329.13,1362
2018,306,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,321.28,329.13,1362
2008,298,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,515.41,601.12,1371
2009,297,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,490.79,574.45,1371
2010,295,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,542.55,624.78,1371
2011,298,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,646.15,721.31,1371
2012,301,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,650.19,711.11,1371
2013,303,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,357.93,385.82,1371
2014,303,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,408.71,433.52,1371
2015,303,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,416.82,441.60,1371
2016,304,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,435.85,456.01,1371
2017,305,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,436.20,446.85,1371
2018,305,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,436.20,446.85,1371
2008,297,CIU,Chippewa County International,Sault Ste. Marie,MI,595.41,694.43,1404
2009,296,CIU,Chippewa County International,Sault Ste. Marie,MI,575.23,673.28,1404
2010,294,CIU,Chippewa County International,Sault Ste. Marie,MI,601.38,692.53,1404
2011,297,CIU,Chippewa County International,Sault Ste. Marie,MI,590.75,659.47,1404
2012,300,CIU,Chippewa County International,Sault Ste. Marie,MI,583.01,637.64,1404
2013,302,CIU,Chippewa County International,Sault Ste. Marie,MI,564.06,608.01,1404
2014,302,CIU,Chippewa County International,Sault Ste. Marie,MI,558.07,591.95,1404
2015,302,CIU,Chippewa County International,Sault Ste. Marie,MI,557.79,590.95,1404
2016,303,CIU,Chippewa County International,Sault Ste. Marie,MI,576.40,603.05,1404
2017,304,CIU,Chippewa County International,Sault Ste. Marie,MI,598.25,612.86,1404
2018,304,CIU,Chippewa County International,Sault Ste. Marie,MI,598.25,612.86,1404
2008,296,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,465.42,542.82,1456
2009,295,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,419.78,491.34,1456
2010,293,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,488.52,562.57,1456
2011,296,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,556.75,621.52,1456
2012,299,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,551.52,603.20,1456
2013,301,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,429.35,462.80,1456
2014,301,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,182.79,193.89,1456
2015,301,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,140.43,148.78,1456
2016,302,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,128.89,134.85,1456
2017,303,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,134.75,138.04,1456
2018,303,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,134.75,138.04,1456
2008,295,ART,Watertown International,Watertown,NY,643.93,751.01,1503
2009,294,ART,Watertown International,Watertown,NY,605.45,708.66,1503
2010,292,ART,Watertown International,Watertown,NY,516.84,595.18,1503
2011,295,ART,Watertown International,Watertown,NY,461.96,515.70,1503
2012,298,ART,Watertown International,Watertown,NY,503.75,550.95,1503
2013,300,ART,Watertown International,Watertown,NY,514.45,554.53,1503
2014,300,ART,Watertown International,Watertown,NY,526.35,558.31,1503
2015,300,ART,Watertown International,Watertown,NY,525.68,556.93,1503
2016,301,ART,Watertown International,Watertown,NY,475.65,497.65,1503
2017,302,ART,Watertown International,Watertown,NY,478.73,490.42,1503
2018,302,ART,Watertown International,Watertown,NY,478.73,490.42,1503
2008,294,HDN,Yampa Valley,Hayden,CO,478.12,557.62,1524
2009,293,HDN,Yampa Valley,Hayden,CO,400.84,469.16,1524
2010,291,HDN,Yampa Valley,Hayden,CO,446.70,514.41,1524
2011,294,HDN,Yampa Valley,Hayden,CO,483.53,539.78,1524
2012,297,HDN,Yampa Valley,Hayden,CO,518.07,566.61,1524
2013,299,HDN,Yampa Valley,Hayden,CO,586.90,632.63,1524
2014,299,HDN,Yampa Valley,Hayden,CO,578.10,613.19,1524
2015,299,HDN,Yampa Valley,Hayden,CO,563.17,596.65,1524
2016,300,HDN,Yampa Valley,Hayden,CO,560.44,586.36,1524
2017,301,HDN,Yampa Valley,Hayden,CO,585.86,600.17,1524
2018,301,HDN,Yampa Valley,Hayden,CO,585.86,600.17,1524
2008,293,OGS,Ogdensburg International,Ogdensburg,NY,504.50,588.40,1532
2009,292,OGS,Ogdensburg International,Ogdensburg,NY,431.63,505.20,1532
2010,290,OGS,Ogdensburg International,Ogdensburg,NY,472.59,544.22,1532
2011,293,OGS,Ogdensburg International,Ogdensburg,NY,498.39,556.37,1532
2012,296,OGS,Ogdensburg International,Ogdensburg,NY,455.39,498.06,1532
2013,298,OGS,Ogdensburg International,Ogdensburg,NY,521.04,561.63,1532
2014,298,OGS,Ogdensburg International,Ogdensburg,NY,448.32,475.54,1532
2015,298,OGS,Ogdensburg International,Ogdensburg,NY,530.96,562.52,1532
2016,299,OGS,Ogdensburg International,Ogdensburg,NY,127.75,133.66,1532
2017,300,OGS,Ogdensburg International,Ogdensburg,NY,151.30,154.99,1532
2018,300,OGS,Ogdensburg International,Ogdensburg,NY,151.30,154.99,1532
2008,292,ALO,Waterloo Regional,Waterloo,IA,518.12,604.28,1600
2009,291,ALO,Waterloo Regional,Waterloo,IA,462.17,540.95,1600
2010,289,ALO,Waterloo Regional,Waterloo,IA,491.38,565.85,1600
2011,292,ALO,Waterloo Regional,Waterloo,IA,562.40,627.83,1600
2012,295,ALO,Waterloo Regional,Waterloo,IA,500.42,547.31,1600
2013,297,ALO,Waterloo Regional,Waterloo,IA,469.30,505.87,1600
2014,297,ALO,Waterloo Regional,Waterloo,IA,448.31,475.52,1600
2015,297,ALO,Waterloo Regional,Waterloo,IA,451.67,478.52,1600
2016,298,ALO,Waterloo Regional,Waterloo,IA,454.30,475.31,1600
2017,299,ALO,Waterloo Regional,Waterloo,IA,470.01,481.49,1600
2018,299,ALO,Waterloo Regional,Waterloo,IA,470.01,481.49,1600
2008,291,HVN,Tweed New Haven,New Haven,CT,410.64,478.93,1602
2009,290,HVN,Tweed New Haven,New Haven,CT,363.21,425.12,1602
2010,288,HVN,Tweed New Haven,New Haven,CT,377.24,434.42,1602
2011,291,HVN,Tweed New Haven,New Haven,CT,389.74,435.07,1602
2012,294,HVN,Tweed New Haven,New Haven,CT,412.35,450.98,1602
2013,296,HVN,Tweed New Haven,New Haven,CT,407.52,439.27,1602
2014,296,HVN,Tweed New Haven,New Haven,CT,430.35,456.48,1602
2015,296,HVN,Tweed New Haven,New Haven,CT,418.51,443.39,1602
2016,297,HVN,Tweed New Haven,New Haven,CT,403.04,421.68,1602
2017,298,HVN,Tweed New Haven,New Haven,CT,403.78,413.64,1602
2018,298,HVN,Tweed New Haven,New Haven,CT,403.78,413.64,1602
2008,290,BQK,Brunswick Golden Isles,Brunswick,GA,423.43,493.84,1612
2009,289,BQK,Brunswick Golden Isles,Brunswick,GA,397.23,464.94,1612
2010,287,BQK,Brunswick Golden Isles,Brunswick,GA,392.65,452.16,1612
2011,290,BQK,Brunswick Golden Isles,Brunswick,GA,425.49,474.99,1612
2012,293,BQK,Brunswick Golden Isles,Brunswick,GA,478.16,522.96,1612
2013,295,BQK,Brunswick Golden Isles,Brunswick,GA,495.62,534.24,1612
2014,295,BQK,Brunswick Golden Isles,Brunswick,GA,513.03,544.17,1612
2015,295,BQK,Brunswick Golden Isles,Brunswick,GA,536.56,568.46,1612
2016,296,BQK,Brunswick Golden Isles,Brunswick,GA,508.78,532.31,1612
2017,297,BQK,Brunswick Golden Isles,Brunswick,GA,537.87,551.01,1612
